date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:53	332893/332893	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:52%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cart-product.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cart-product.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:54	117796/117796	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/studs-category.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/studs-category.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:54	201349/201349	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/showcase-slide-image.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/showcase-slide-image.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:56	35049/35049	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2017:33:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/video-play-icon.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/video-play-icon.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:56	1184/1184	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/heart-blank.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/heart-blank.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:57	1530/1530	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:45%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/bell.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/bell.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:57	261/261	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/minus-icon.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/minus-icon.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:57	16344/16344	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2017:33:46%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cart-product-resized.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cart-product-resized.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:57	398/398	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:47%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/plus-icon.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/plus-icon.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:58	1189/1189	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:45%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/bell-ring.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/bell-ring.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:58	1773/1773	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202023%2017:33:46%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cross-close-modal.svg	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/cross-close-modal.svg	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:58	435046/435046	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/Ring-1.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/Ring-1.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
17:55:59	31412/31412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:25:58%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/ionicons/css/ionicons.min.css	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/onsenui2.min.css)
17:56:00	31412/31412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:25:58%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/material-design-iconic-font/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/material-design-iconic-font/css/material-design-iconic-font.min.css	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/onsenui2.min.css)
17:56:00	31412/31412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:25:59%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/font_awesome/css/all.min.css	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/font_awesome/css/all.min.css	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/onsenui2.min.css)
17:56:01	31412/31412	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2012:26:00%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/font_awesome/css/v4-shims.min.css	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/font_awesome/css/v4-shims.min.css	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/onsenui2.min.css)
17:56:03	225441/225441	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2005:46:53%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/left-side-bg-resized.png	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/img/left-side-bg-resized.png	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/css/style.css?v=1.1)
17:56:53	5831612/5831612	---M--	200	added ('OK')	video/mp4	date:Sat,%2014%20Oct%202023%2017:33:48%20GMT	https://metaverse.tech2edge.co/diyora-kiosk-sim/assets/video/R_PTRG00451-PA1163%20(30CT).mp4	C:/My%20Web%20Sites/onsen-diyora-2/metaverse.tech2edge.co/diyora-kiosk-sim/assets/video/R_PTRG00451-PA1163%20(30CT).mp4	(from https://metaverse.tech2edge.co/diyora-kiosk-sim/)
